,MonitoringDate,MonitoringLocationIdentifier,COD,DIN,DIP,DO,TPH,pH,month,cluster_kmeans_2,cluster_agglomerative_2,cluster_spectral_2,cluster_kmeans_3,cluster_agglomerative_3,cluster_spectral_3,cluster_kmeans_4,cluster_agglomerative_4,cluster_spectral_4
52,2021-08-01,398,1.13,0.099,0.006999999999999999,7.734999999999999,0.002,8.09,8,0,0,0,0,0,2,3,0,3
53,2021-11-01,398,1.16,0.28,0.016,10.2,0.002,8.02,11,0,0,0,0,2,0,3,2,3
54,2022-05-01,398,1.07,0.0415,0.0035,9.92,0.0015,8.135000000000002,5,0,0,0,0,2,0,3,2,3
55,2022-08-01,398,1.16,0.223,0.005,7.54,0.002,8.08,8,0,0,0,0,0,2,3,0,3
56,2017-08-01,399,1.05,0.039,0.009,7.862899999999999,0.014,8.15,8,0,0,0,0,0,2,3,0,3
57,2018-08-01,399,1.05,0.083,0.009,8.304899999999998,0.018,8.34,8,0,0,0,0,2,2,3,2,3
58,2019-07-01,399,1.08,0.031,0.001,8.841799999999994,0.003,8.21,7,0,0,0,0,2,0,3,2,3
59,2020-05-01,399,1.09,0.026,0.006,9.392649999999994,0.013,7.97,5,0,0,0,0,2,0,3,2,3
60,2020-08-01,399,1.43,0.117,0.0,9.559400000000004,0.018,8.43,8,0,0,0,0,2,0,3,2,3
61,2020-10-01,399,1.28,0.035,0.005,9.37935,0.005,8.19,10,0,0,0,0,2,0,3,2,3
62,2021-04-01,399,0.87,0.031,0.001,10.920949999999994,0.006,8.06,4,0,0,0,0,2,0,3,2,0
63,2021-07-01,399,1.08,0.031,0.001,8.841799999999994,0.003,8.21,7,0,0,0,0,2,0,3,2,3
64,2021-10-01,399,0.995,0.0545,0.0075,9.3108,0.0035,8.105,10,0,0,0,0,2,0,3,2,3
65,2022-07-01,399,1.08,0.031,0.0,8.785299999999996,0.003,8.16,7,0,0,0,0,2,0,3,2,3
66,2017-08-01,400,0.97,0.066,0.011,6.776925000000002,0.013,8.03,8,0,0,0,2,0,2,0,0,3
67,2018-08-01,400,0.97,0.066,0.009,7.484000000000001,0.013,8.13,8,0,0,0,2,0,2,0,0,3
68,2019-07-01,400,1.02,0.026,0.002,9.18045,0.004,8.08,7,0,0,0,0,2,0,3,2,3
69,2020-05-01,400,0.82,0.043,0.008,9.18895,0.015,7.96,5,0,0,0,0,2,0,3,2,3
70,2020-08-01,400,1.5,0.122,0.001,9.671449999999998,0.01,8.4,8,0,0,0,0,2,0,3,2,3
